psu,a7,a8,relprac,floodrisk,pop1011_UNOSAT,dem_mean,dem_std,neigh_Rivers,centdist_MRiver,flood_exp,violent_vignette,effective,approve,vv_pop1011_UNOSAT,male,headh,age,read,math,educ,sunni,knowfullpca,simpleknow,vv_flood_exp
563,Barkhan,Barkhan,.5,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.25,1,0,1,1,.5,1,1,.33333334,1,2.7387638,.89999998,0
973,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,0,0,.47,0,,0,1,1.056061,.40000001,0
951,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.75,.75,0,1,1,.46000001,0,0,0,1,.68146592,.30000001,0
104,Barkhan,Barkhan,.33333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,.75,0,0,0,.25999999,0,0,0,1,.31584194,.1,0
104,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.41999999,0,0,,1,.68146592,.30000001,0
437,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,1,0,.31999999,1,,.16666667,1,1.7517729,.60000002,0
916,Barkhan,Barkhan,.33333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.75,.75,0,1,1,.38,0,0,0,1,.68146592,.30000001,0
916,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.75,.75,0,1,1,.46000001,0,0,0,1,1.4355742,.5,0
4,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.25,.25,0,0,0,.38,0,1,0,1,2.1196299,.69999999,0
393,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,.333,1,1,.5,0,0,0,.38,0,1,0,1,3.0063336,1,.333
144,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,1,1,.41999999,0,0,0,1,2.4313924,.80000001,0
857,Barkhan,Barkhan,.26666668,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,0,0,.31999999,0,0,0,1,.68146592,.30000001,0
937,Barkhan,Barkhan,.56666666,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,1,1,.37,1,1,.5,1,2.2428713,.80000001,0
951,Barkhan,Barkhan,.33333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,1,.38,0,0,0,1,.68146592,.30000001,0
307,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.75,.75,0,1,1,.44999999,0,0,0,1,1.6679302,.60000002,0
937,Barkhan,Barkhan,.43333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,1,1,.47,1,1,.33333334,1,1.9354999,.69999999,0
857,Barkhan,Barkhan,.26666668,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,0,0,.37,1,1,.33333334,1,1.8195233,.60000002,0
857,Barkhan,Barkhan,.33333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.5,.5,0,0,0,.30000001,0,0,0,1,.68146592,.30000001,0
104,Barkhan,Barkhan,0,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.25,0,0,0,1,.31584194,.1,0
916,Barkhan,Barkhan,.30000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.75,.75,0,1,0,.2,1,1,.5,1,2.4313924,.80000001,0
104,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.34999999,0,0,0,,.65406334,.2,0
937,Barkhan,Barkhan,.5,.048734177,0,1.2624629,.20841773,0,1.3607925,0,,,,,1,0,.36000001,1,1,.16666667,1,2.7387638,.89999998,
393,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,.333,1,.75,.25,0,0,0,.34,0,1,0,1,3.0063336,1,.333
563,Barkhan,Barkhan,.30000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,1,.36000001,1,1,.66666669,1,2.7387638,.89999998,0
393,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,.333,1,.75,.25,0,0,0,.40000001,0,1,0,1,2.6715596,.80000001,.333
973,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.5,0,0,0,0,.36000001,1,0,0,1,2.1312859,.69999999,0
104,Barkhan,Barkhan,.33333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.57999998,0,,0,1,.31584194,.1,0
144,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,1,1,.38,0,0,0,1,1.6237372,.60000002,0
916,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,1,.36000001,0,0,0,1,1.056061,.40000001,0
393,Barkhan,Barkhan,.43333334,.048734177,0,1.2624629,.20841773,0,1.3607925,.333,1,.5,.25,0,0,0,.25,0,1,,1,1.7921207,.5,.333
437,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,1,1,.40000001,0,0,0,1,1.3678237,.5,0
89,Barkhan,Barkhan,.26666668,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,,.40000001,0,,0,1,1.056061,.40000001,0
563,Barkhan,Barkhan,.5,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.25,0,0,1,1,.41999999,1,1,.5,1,2.7387638,.89999998,0
437,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,1,1,.30000001,1,,.16666667,1,1.3634324,.5,0
857,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,0,0,.41,1,1,.16666667,1,1.056061,.40000001,0
393,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.5,.5,0,0,0,.31999999,0,1,0,1,2.0596905,.60000002,0
973,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.5,0,0,0,0,.44999999,0,0,0,1,1.056061,.40000001,0
916,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.75,.75,0,1,0,.2,1,1,.5,1,2.4313924,.80000001,0
307,Barkhan,Barkhan,.26666668,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,1,1,.28,1,,.5,1,1.9354999,.69999999,0
89,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,,.38,1,,0,1,1.056061,.40000001,0
437,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,1,1,.54000002,0,0,0,1,1.056061,.40000001,0
393,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,.333,1,.75,.75,0,0,0,.25999999,0,1,0,1,2.1038835,.60000002,.333
973,Barkhan,Barkhan,.43333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,0,0,.38999999,1,0,0,1,1.7473369,.60000002,0
563,Barkhan,Barkhan,.5,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.25,.25,0,1,1,.54000002,1,1,.5,1,2.7387638,.89999998,0
307,Barkhan,Barkhan,.53333336,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,1,1,.46000001,0,0,0,1,1.6679302,.60000002,0
144,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,1,0,.22,1,1,.33333334,1,2.6223843,.89999998,0
393,Barkhan,Barkhan,.26666668,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,.25,0,0,0,.36000001,0,1,0,1,3.0063336,1,0
951,Barkhan,Barkhan,.5,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,1,.40000001,1,1,.5,1,2.1196299,.69999999,0
973,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,0,0,.30000001,0,0,0,1,1.056061,.40000001,0
973,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,0,0,.41999999,0,0,0,1,1.7517729,.60000002,0
393,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,.25,0,0,0,.28999999,0,1,0,1,2.6989622,.89999998,0
857,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,0,0,.30000001,0,0,0,1,1.8195233,.60000002,0
