gid_1,name_1,gid_2,name_2,paymentyear,comm_total_all,disb_total_all,comm_health_all,disb_health_all,comm_repro_all,disb_repro_all,comm_total_all_ngo,disb_total_all_ngo,comm_health_all_ngo,disb_health_all_ngo,comm_repro_all_ngo,disb_repro_all_ngo,comm_health_all_ngo_nonus,disb_health_all_ngo_nonus,comm_total_us,disb_total_us,comm_health_us,disb_health_us,comm_repro_us,disb_repro_us,comm_total_us_ngo,disb_total_us_ngo,comm_health_us_ngo,disb_health_us_ngo,comm_repro_us_ngo,disb_repro_us_ngo,comm_health_us_ngo_nonus,disb_health_us_ngo_nonus,comm_total_eu,disb_total_eu,comm_health_eu,disb_health_eu,comm_repro_eu,disb_repro_eu,comm_total_eu_ngo,disb_total_eu_ngo,comm_health_eu_ngo,disb_health_eu_ngo,comm_repro_eu_ngo,disb_repro_eu_ngo,comm_health_eu_ngo_nonus,disb_health_eu_ngo_nonus,comm_total_other,disb_total_other,comm_health_other,disb_health_other,comm_repro_other,disb_repro_other,comm_total_other_ngo,disb_total_other_ngo,comm_health_other_ngo,disb_health_other_ngo,comm_repro_other_ngo,disb_repro_other_ngo,comm_health_other_ngo_nonus,disb_health_other_ngo_nonus
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2015,54183651.6417485,12431074.1856578,0,0,0,0,0,2235540.43306695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54183651.6417485,12431074.1856578,0,0,0,0,0,2235540.43306695,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2016,614346495.371245,22198618.9932352,0,0,0,0,0,0,0,0,0,0,0,0,0,1006043.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614346495.371245,21192575.3682352,0,0,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2017,1555311414.57598,4976349.62371702,0,0,0,0,0,0,0,0,0,0,0,0,0,1402821.25,0,0,0,0,0,0,0,0,0,0,0,0,116840200,0,0,0,0,0,0,0,0,0,0,0,0,0,1438471214.57598,3573528.37371702,0,0,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2018,73520240,35629342.8645281,0,0,0,0,0,0,0,0,0,0,0,0,73520240,25147788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10481554.8645281,0,0,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2019,0,19161840.1604845,0,0,0,0,0,0,0,0,0,0,0,0,0,16187379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2974461.1604845,0,0,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2020,0,46156017.7912999,0,0,0,0,0,0,0,0,0,0,0,0,0,38435880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7720137.79129995,0,0,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2021,1391020400,12901133.4060196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391020400,12901133.4060196,0,0,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2022,0,2445992.59462843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445992.59462843,0,0,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2023,0,-166084.273643155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-166084.273643155,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,1990,139983152,0,0,0,0,0,0,0,0,0,0,0,0,0,139983152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,1992,33905871.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33905871.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,1995,9264257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9264257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,1996,194520.234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194520.234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
