district,year,att_on_Business,att_on_Government_General,att_on_Police,att_on_Military,att_on_No_Name,att_on_Airports_Aircraft,att_on_Government_Diplomatic,att_on_Educational_Inst,att_on_Food_or_Water_Supply,att_on_Journalists_Media,att_on_Maritime,att_on_NGO,att_on_Other,att_on_Private_Citizens_Prop,att_on_Religious_Figures_Inst,att_on_Telecommunication,att_on_Terror_Non_State_M,att_on_Tourists,att_on_Transportation,att_on_Unknown,att_on_Utilities,att_on_Violent_Political_Party,attack_type_8_success,attack_type_8_fail,total_attacks,nkill,nwound,property,total_pop2,total_pop_982,total_att_on_law_enf,total_attcks_calculated,total_att_others,province
Abbottabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602237,1046110,0,0,0,Khyber Pakhtunkhwa
Astore,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71666,100000,0,0,0,Gilgit Baltistan
Attock,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886378,1274935,0,0,0,Punjab
Awaran,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103431,95743,0,0,0,Balochistan
Badin,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1795400,1118510,0,0,0,Sindh
Bagh,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171566,103725,0,0,0,Azad Kashmir
Bahawalnagar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2975656,2061447,0,0,0,Punjab
Bahawalpur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3093290,2046053,0,0,0,Punjab
Bajaur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090987,595227,0,0,0,Khyber Pakhtunkhwa
Bannu,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414772,827928,0,0,0,Khyber Pakhtunkhwa
Barkhan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171025,103545,0,0,0,Balochistan
Batagram,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476749,307278,0,0,0,Khyber Pakhtunkhwa
Bhakkar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647852,1051456,0,0,0,Punjab
Bhimber,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169692,103465,0,0,0,Azad Kashmir
Buner,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895460,506048,0,0,0,Khyber Pakhtunkhwa
Central Karachi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525035,1922990,0,0,0,Sindh
Chagai,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226517,104534,0,0,0,Balochistan
Chakwal,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369693,988099,0,0,0,Punjab
Chaman,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434561,151854,0,0,0,Balochistan
Charsadda,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610960,1022364,0,0,0,Khyber Pakhtunkhwa
Chiniot,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368659,965124,0,0,0,Punjab
Chitral Lower,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471098,303369,0,0,0,Khyber Pakhtunkhwa
Chitral Upper,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320324,226651,0,0,0,Khyber Pakhtunkhwa
D. I. Khan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680017,886759,0,0,0,Khyber Pakhtunkhwa
Dadu,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550390,1106717,0,0,0,Sindh
Darel,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,214000,0,0,0,Gilgit Baltistan
Dera Bugti,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197444,106862,0,0,0,Balochistan
Dera Ghazi Khan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2791117,1610241,0,0,0,Punjab
Diamir,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131925,270000,0,0,0,Gilgit Baltistan
Duki,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152977,115976,0,0,0,Balochistan
East Karachi,1970,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,20,0,1321233,796094,0,1,0,Sindh
Faisalabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7882444,5429547,0,0,0,Punjab
Ghanche,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88365,159999,0,0,0,Gilgit Baltistan
Ghizer,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120228,170000,0,0,0,Gilgit Baltistan
Ghotki,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648708,968797,0,0,0,Sindh
Gilgit,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145272,290000,0,0,0,Gilgit Baltistan
Gujranwala,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2204537,1588803,0,0,0,Punjab
Gujrat,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756289,2048008,0,0,0,Punjab
Gupis-Yasin,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,95575,0,0,0,Gilgit Baltistan
Gwadar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262253,185498,0,0,0,Balochistan
Hafizabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156954,832980,0,0,0,Punjab
Hangu,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518811,314529,0,0,0,Khyber Pakhtunkhwa
Haripur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983600,1376093,0,0,0,Khyber Pakhtunkhwa
Harnai,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64056,51482,0,0,0,Balochistan
Haveli,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140028,86074,0,0,0,Azad Kashmir
Hunza,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46664,50000,0,0,0,Gilgit Baltistan
Hyderabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2199928,1494866,0,0,0,Sindh
Islamabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003368,805235,0,0,0,Islamabad
Jacobabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007009,727190,0,0,0,Sindh
Jaffarabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513972,291290,0,0,0,Balochistan
Jamshoro,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993908,582094,0,0,0,Sindh
Jhal Magsi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139459,98379,0,0,0,Balochistan
Jhang,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742633,1869421,0,0,0,Punjab
Jhelum,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222403,936957,0,0,0,Punjab
Jhelum Valley,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46819,28780,0,0,0,Azad Kashmir
Kachhi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236473,199457,0,0,0,Balochistan
Kalat,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129094,86565,0,0,0,Balochistan
Kambar Shahdad Kot,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365157,907657,0,0,0,Sindh
Karak,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705362,430796,0,0,0,Khyber Pakhtunkhwa
Kashmore,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090336,677120,0,0,0,Sindh
Kasur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3454881,2354506,0,0,0,Punjab
Kech,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767229,317969,0,0,0,Balochistan
Khairpur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429776,1547788,0,0,0,Sindh
Khanewal,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920233,2068490,0,0,0,Punjab
Kharan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162766,96900,0,0,0,Balochistan
Kharmang,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41946,50000,0,0,0,Gilgit Baltistan
Khushab,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284976,890965,0,0,0,Punjab
Khuzdar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655849,325434,0,0,0,Balochistan
Khyber,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023215,575743,0,0,0,Khyber Pakhtunkhwa
Killa Abdullah,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323793,208870,0,0,0,Balochistan
Killa Saifullah,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211057,108342,0,0,0,Balochistan
Kohat,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314994,760925,0,0,0,Khyber Pakhtunkhwa
Kohistan Lower,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326635,88249,0,0,0,Khyber Pakhtunkhwa
Kohistan Upper,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414709,251116,0,0,0,Khyber Pakhtunkhwa
Kohlu,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160501,77523,0,0,0,Balochistan
Kolai Palas Kohistan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348790,210947,0,0,0,Khyber Pakhtunkhwa
Korangi Karachi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193167,1346410,0,0,0,Sindh
Kotli,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125388,77076,0,0,0,Azad Kashmir
Kurram,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615372,448310,0,0,0,Khyber Pakhtunkhwa
Lahore,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5286318,3138129,0,0,0,Punjab
Lakki Marwat,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888776,498035,0,0,0,Khyber Pakhtunkhwa
Larkana,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521786,1001608,0,0,0,Sindh
Lasbela,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576271,312695,0,0,0,Balochistan
Lehri,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117949,88599,0,0,0,Balochistan
Leiah,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823995,1120951,0,0,0,Punjab
Lodhran,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699693,1171800,0,0,0,Punjab
Loralai,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244446,134171,0,0,0,Balochistan
Lower Dir,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757661,976730,0,0,0,Khyber Pakhtunkhwa
Malakand,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307237,188858,0,0,0,Khyber Pakhtunkhwa
Malir Karachi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623431,330636,0,0,0,Sindh
Mandi Bahauddin,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594039,1160552,0,0,0,Punjab
Mansehra,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918414,1201090,0,0,0,Khyber Pakhtunkhwa
Mardan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3066626,1886225,0,0,0,Khyber Pakhtunkhwa
Mastung,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226816,130777,0,0,0,Balochistan
Matiari,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770040,494244,0,0,0,Sindh
Mianwali,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542601,1056620,0,0,0,Punjab
Mirpur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28731,23420,0,0,0,Azad Kashmir
Mirpur Khas,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504440,1006329,0,0,0,Sindh
Mohmand,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544172,328642,0,0,0,Khyber Pakhtunkhwa
Multan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4746166,3116851,0,0,0,Punjab
Musakhel,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135904,109234,0,0,0,Balochistan
Muzaffarabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269221,158800,0,0,0,Azad Kashmir
Muzaffargarh,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4328549,2635903,0,0,0,Punjab
Nagar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51388,70000,0,0,0,Gilgit Baltistan
Nankana Sahib,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354986,1044865,0,0,0,Punjab
Narowal,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707575,1265097,0,0,0,Punjab
Nasirabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474772,244629,0,0,0,Balochistan
Naushahro Feroze,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612047,1087571,0,0,0,Sindh
Neelum,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75988,47563,0,0,0,Azad Kashmir
North Waziristan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585209,388700,0,0,0,Khyber Pakhtunkhwa
Nowshera,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638351,962295,0,0,0,Khyber Pakhtunkhwa
Nushki,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178947,98030,0,0,0,Balochistan
Okara,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040826,2232992,0,0,0,Punjab
Orakzai,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254303,225441,0,0,0,Khyber Pakhtunkhwa
Pakpattan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824228,1286680,0,0,0,Punjab
Panjgur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315353,234051,0,0,0,Balochistan
Peshawar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3724681,2289558,0,0,0,Khyber Pakhtunkhwa
Pishin,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736903,376728,0,0,0,Balochistan
Poonch,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113598,69828,0,0,0,Azad Kashmir
Quetta,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2269473,774547,0,0,0,Balochistan
Rahim Yar Khan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005424,2486394,0,0,0,Punjab
Rajanpur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042278,1137825,0,0,0,Punjab
Rawalpindi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5402380,3363911,0,0,0,Punjab
Rondu,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,39490,0,0,0,Gilgit Baltistan
Sahiwal,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2853706,2090799,0,0,0,Punjab
Sanghar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049873,1319881,0,0,0,Sindh
Sargodha,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3355517,2418374,0,0,0,Punjab
Shaheed Benazir Abad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1675962,1102627,0,0,0,Sindh
Shaheed Sikandarabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200857,93401,0,0,0,Balochistan
Shangla,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002597,583926,0,0,0,Khyber Pakhtunkhwa
Sheikhupura,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3460004,2276164,0,0,0,Punjab
Sherani,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152952,81684,0,0,0,Balochistan
Shigar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45322,70000,0,0,0,Gilgit Baltistan
Shikarpur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031544,695089,0,0,0,Sindh
Sialkot,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3894938,2723481,0,0,0,Punjab
Sibi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125013,92665,0,0,0,Balochistan
Skardu,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127580,260000,0,0,0,Gilgit Baltistan
Sohbatpur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53434,41446,0,0,0,Balochistan
South Karachi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797377,1319658,0,0,0,Sindh
South Waziristan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675215,429841,0,0,0,Khyber Pakhtunkhwa
Sudhnoti,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122858,77638,0,0,0,Azad Kashmir
Sujawal,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779062,513702,0,0,0,Sindh
Sukkur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488372,931387,0,0,0,Sindh
Swabi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625477,1026804,0,0,0,Khyber Pakhtunkhwa
Swat,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2637614,1481840,0,0,0,Khyber Pakhtunkhwa
Tando Allahyar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838527,493526,0,0,0,Sindh
Tando Muhammad Khan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677098,438624,0,0,0,Sindh
Tangir,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,31257,0,0,0,Gilgit Baltistan
Tank,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426618,260340,0,0,0,Khyber Pakhtunkhwa
Tharparkar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647036,914291,0,0,0,Sindh
Thatta,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982138,599492,0,0,0,Sindh
Toba Tek Singh,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113056,1539285,0,0,0,Punjab
Tor Ghar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171349,174682,0,0,0,Khyber Pakhtunkhwa
Umer Kot,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073469,664797,0,0,0,Sindh
Upper Dir,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442988,715029,0,0,0,Khyber Pakhtunkhwa
Vehari,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2902081,2090416,0,0,0,Punjab
Washuk,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148164,90368,0,0,0,Balochistan
West Karachi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756352,1072892,0,0,0,Sindh
