from_month,from_year,to_month,to_year,province,district,f_sub_borrowers_tot,f_sub_disbursed,f_sub_recovered,f_sub_borrowers_out,f_sub_outstanding,f_eco_borrowers_tot,f_eco_disbursed,f_eco_recovered,f_eco_borrowers_out,f_eco_outstanding,f_abv_borrowers_tot,f_abv_disbursed,f_abv_rabvvered,f_abv_borrowers_out,f_abv_outstanding,nf_sf_borrowers_tot,nf_sf_disbursed,nf_sf_recovered,nf_sf_borrowers_out,nf_sf_outstanding,nf_lf_borrowers_tot,nf_lf_disbursed,nf_lf_recovered,nf_lf_borrowers_out,nf_lf_outstanding,,,,,
7,2021,6,2022,Punjab,Lahore,4471.000,93240383.000,115610118171.000,5463.000,3945072936.000,287.000,4200363.000,483068.000,499.000,5220549.000,231.000,544550645.000,624170922.000,464.000,147710089.000,6344.000,4894063349.000,4215060823.000,8191.000,2988010627.000,3125.000,1853530797.000,178492028101431.000,1417.000,31473018.000,,,,,
7,2021,6,2022,Punjab,Layyah,32859.000,5051048.000,42740129224.000,51133.000,6172011029.000,1139.000,19140864.000,180303.000,1388.000,10060159.000,165.000,18200018.000,16600351.000,176.000,4890215.000,33376.000,3386094648.000,238202955.000,33734.000,3549067558.000,690.000,14900283.000,12910087.000,855.000,5200611.000,,,,,
7,2021,6,2022,Punjab,Lodhran,25844.000,48560691.000,46820318797.000,41680.000,5392043752.000,792.000,17130016.000,16660468.000,945.000,7480527.000,201.000,864031.000,8760407.000,178.000,3310473.000,25215.000,2828092211.000,2433098621.000,43312.000,444807939.000,1974.000,10400395.000,10170306.000,4254.000,9780104.000,,,,,
7,2021,6,2022,Punjab,Mandibahauddin,7195.000,14640145.000,12760362553.000,8127.000,1704057418.000,519.000,8600402.000,7890363.000,573.000,4910727.000,42.000,6420754.000,6150748.000,37.000,730434.000,16906.000,3550057154.000,3312049862.000,17169.000,3429008402.000,301.000,11770548.000,10690701.000,320.000,5670245.000,,,,,
7,2021,6,2022,Punjab,Mianwali,5127.000,11130319.000,13490585853.000,6006.000,1137071072.000,557.000,6680692.000,711006.000,731.000,429062.000,110.000,32030282.000,31830103.000,175.000,4070097.000,4346.000,639023214.000,900067019.000,5309.000,617017738.000,510.000,1080577.000,950579.000,539.000,1160089.000,,,,,
7,2021,6,2022,Punjab,Multan,29031.000,134070023.000,133950647317.000,45729.000,7812043289.000,1421.000,35510403.000,31480038.000,1685.000,20710831.000,517.000,510890874.000,496820276.000,524.000,74060861.000,39213.000,5330024438.000,3811039402.000,51276.000,6007041584.000,2799.000,215560686.000,20891095.000,4255.000,71430278.000,,,,,
7,2021,6,2022,Punjab,Muzaffargarh,55092.000,70150715.000,68960334866.000,84127.000,867205078.000,1444.000,24820545.000,23930491.000,1627.000,12530563.000,272.000,20960172.000,19600318.000,296.000,6940413.000,37421.000,4979074114.000,3748033584.000,43494.000,5047052483.000,4072.000,22270541.000,20550253.000,6998.000,20210202.000,,,,,
7,2021,6,2022,Punjab,Nankana Sahib,14879.000,20110883.000,27070213472.000,16105.000,2057047066.000,769.000,16630724.000,16390392.000,985.000,7410937.000,223.000,24550932.000,24360181.000,195.000,5020322.000,7067.000,175600491.000,1685032308.000,9356.000,1826030641.000,1114.000,14830611.000,12820527.000,1790.000,7680477.000,,,,,
7,2021,6,2022,Punjab,Narowal,15513.000,23290266.000,2252050362.000,18360.000,2557037512.000,1861.000,33420507.000,32450485.000,1692.000,15070653.000,362.000,22140915.000,20090507.000,344.000,9840256.000,10861.000,1758000485.000,1717053309.000,12031.000,1633077506.000,354.000,7270667.000,5470573.000,458.000,2880631.000,,,,,
7,2021,6,2022,Punjab,Okara,28448.000,64140574.000,57640122152.000,40120.000,7304029691.000,2637.000,39520489.000,39670127.000,3270.000,21750552.000,575.000,92080665.000,92570816.000,581.000,35030033.000,33592.000,4793071347.000,3224049735.000,48701.000,570202087.000,4901.000,2481085.000,19860169.000,5959.000,17080876.000,,,,,
7,2021,6,2022,Punjab,Pakpattan,15941.000,30750357.000,34210883964.000,26684.000,3742087897.000,1284.000,24400037.000,23710358.000,1484.000,12100562.000,335.000,35030772.000,34160982.000,247.000,12260528.000,19744.000,2550083043.000,2081036185.000,26899.000,2996067843.000,1305.000,3937025.000,35590985.000,1850.000,13600813.000,,,,,
7,2021,6,2022,Punjab,Rahimyar Khan,64346.000,133990281.000,119630392739.000,98817.000,13919059145.000,3233.000,58200448.000,59100994.000,3048.000,29780144.000,1869.000,259720439.000,233720735.000,850.000,7981048.000,50545.000,6235036437.000,4351061857.000,66453.000,7915066695.000,10459.000,49560875.000,3696033.000,14434.000,43860958.000,,,,,
7,2021,6,2022,Punjab,Rajanpur,25862.000,36220701.000,32680276404.000,32126.000,3774027993.000,521.000,13440426.000,1398.000,749.000,5350919.000,78.000,14810497.000,13930864.000,103.000,2700184.000,21056.000,2453066419.000,2049069883.000,28434.000,2845043568.000,1385.000,4580497.000,3460902.000,1721.000,4500766.000,,,,,
7,2021,6,2022,Punjab,Rawalpindi,2869.000,14850724.000,7460369956.000,3165.000,1280069564.000,40.000,12080051.000,13720277.000,129.000,3820546.000,36.000,112950822.000,77600186.000,63.000,62660896.000,5563.000,3823054219.000,3849064609.000,6986.000,2492034614.000,337.000,725120955.000,711000181.000,385.000,130690839.000,,,,,
7,2021,6,2022,Punjab,Sahiwal,21848.000,3804015.000,32820656087.000,27712.000,382905057.000,1150.000,28650082.000,25450465.000,1363.000,13550502.000,348.000,41690132.000,40230195.000,377.000,6900127.000,24439.000,3069032312.000,2298004336.000,31936.000,3236092614.000,850.000,480890073.000,433570076.000,1316.000,81250431.000,,,,,
7,2021,6,2022,Punjab,Sargodha,19408.000,44840769.000,38250791973.000,23991.000,4347002398.000,1980.000,24180553.000,24150186.000,2637.000,18070069.000,234.000,44280695.000,39900405.000,253.000,7770378.000,40299.000,641105313.000,5477033188.000,50375.000,667508035.000,1271.000,105240255.000,96190351.000,1321.000,37640554.000,,,,,
7,2021,6,2022,Punjab,Sheikhupura,10883.000,20440367.000,25780742178.000,16670.000,2747090597.000,1039.000,19170375.000,18630215.000,1444.000,11420263.000,224.000,17060371.000,17110051.000,188.000,5200974.000,9112.000,2717004063.000,179105619.000,12426.000,2998070389.000,1539.000,37880654.000,14840261.000,2654.000,25300856.000,,,,,
7,2021,6,2022,Punjab,Sialkot,13178.000,29800096.000,29950614361.000,19052.000,320509969.000,2107.000,37340075.000,36140987.000,2374.000,21250052.000,467.000,28440281.000,29220809.000,455.000,9000141.000,22004.000,5285012886.000,463802264.000,24798.000,5096058627.000,927.000,22140252.000,19210957.000,1398.000,8100983.000,,,,,
7,2021,6,2022,Punjab,Toba Tek Singh,21275.000,44630988.000,42920748831.000,30650.000,4267063256.000,884.000,17880226.000,16640037.000,937.000,8250968.000,142.000,927051.000,8020772.000,123.000,3880451.000,35227.000,5481034445.000,4259050927.000,39873.000,5111000076.000,3226.000,30590379.000,31600887.000,7430.000,24150587.000,,,,,
7,2021,6,2022,Punjab,Vehari,24541.000,49900785.000,47040498204.000,32515.000,4770046946.000,1314.000,35690332.000,35470057.000,1543.000,11710895.000,355.000,31120082.000,29520908.000,418.000,8290134.000,43631.000,5409036356.000,4193048247.000,52173.000,5770062733.000,4374.000,25980765.000,21550343.000,6191.000,17080063.000,,,,,
7,2021,6,2022,Punjab,MFIs,82274.000,47510166.000,55980006.000,60795.000,32610766.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,308060.000,161310878.000,12858047.000,316501.000,101420628.000,0.000,0.000,0.000,0.000,0.000,,,,,
7,2021,6,2022,Sindh,Badin,4526.000,11870833218.000,9850749816.000,6340.000,15140194835.000,1189.000,176206690208.000,167005560208.000,1562.000,1220046803.000,261.000,16760727.000,1482075.000,385.000,6900874.000,3208.000,731012904.000,3600037731.000,4103.000,8140520295014.000,79.000,2130847.000,1750666.000,132.000,900354.000,,,,,
7,2021,6,2022,Sindh,Dadu,7650.000,20200858078.000,11700165449.000,10198.000,22120810858015.000,220.000,4580739.000,3960008.000,322.000,3030776.000,25.000,1190329.000,930086.000,25.000,550029.000,4588.000,8900891227.000,6010442248.000,5734.000,9980719547.000,34.000,1270544.000,1120469.000,45.000,330769.000,,,,,
7,2021,6,2022,Sindh,Ghotki,11438.000,2096019504.000,23270246901.000,17275.000,26470224412.000,291.000,4430575.000,5730727.000,486.000,3560078.000,58.000,2540808.000,3400573.000,32.000,1000345.000,3345.000,7210780811.000,4660445288.000,6084.000,10240430612.000,187.000,2340196.000,163087.000,379.000,1790929.000,,,,,
7,2021,6,2022,Sindh,Hyderabad,2559.000,189510234068.000,197120240986.000,3510.000,3370029518.000,535.000,11850606.000,12000008.000,617.000,6730425.000,318.000,82250717.000,260870638.000,269.000,16320318.000,4663.000,9760355932.000,7130292284.000,5402.000,9470997409.000,76.000,470031.000,4010731.000,74.000,1820081.000,,,,,
7,2021,6,2022,Sindh,Jaccobabad,2105.000,676012642.000,5930248563.000,2820.000,703005516.000,169.000,4390967.000,3860047.000,274.000,2570293.000,38.000,2660953.000,2410425.000,42.000,1300301.000,1988.000,3540944836.000,2500030356.000,2655.000,4170033123.000,84.000,300844.000,340187.000,255.000,540879.000,,,,,
7,2021,6,2022,Sindh,Jamshoro,180.000,780675.000,1210297.000,329.000,690685.000,67.000,790342.000,770754.000,88.000,650652.000,6.000,260316.000,80618.000,10.000,290353.000,39.000,130771.000,40676186.000,92.000,170848814.000,23.000,190937.000,140056.000,22.000,120573.000,,,,,
7,2021,6,2022,Sindh,Kamber & Shadad kot,11094.000,16510598889.000,15330689744.000,15662.000,19800550172.000,318.000,6770016.000,6130773.000,430.000,3190244.000,16.000,66023.000,660067.000,31.000,64005.000,5061.000,8470914178.000,7690636441.000,6994.000,9510221175.000,208.000,310589.000,410058.000,285.000,400427.000,,,,,
7,2021,6,2022,Sindh,Karachi,4479.000,36634078906.000,296410641081.000,6001.000,65740365047.000,4.000,210168.000,250974.000,11.000,170735.000,71.000,316780579.000,310280195.000,96.000,54140302.000,2410.000,9280759336.000,6390478169.000,2213.000,10590068887.000,155.000,481390808.000,429060999.000,337.000,135180949.000,,,,,
7,2021,6,2022,Sindh,Kashmore - Kandhkot,6645.000,10620732171.000,8290488595.000,9883.000,13450681475.000,147.000,8760682.000,7540269.000,216.000,2660451.000,28.000,1430217.000,1400618.000,29.000,720095.000,2545.000,3220201005.000,5260478848.000,3919.000,4300206387.000,17.000,340025.000,310598.000,40.000,160565.000,,,,,
7,2021,6,2022,Sindh,Khairpur,11530.000,25180073301.000,23980372331.000,16544.000,29890496412.000,758.000,8470385.000,9080978.000,905.000,4000015.000,380.000,710101.000,1180338.000,24.000,340558.000,9734.000,16840462635.000,10710582505.000,14496.000,22760773381.000,367.000,33908.000,2280919.000,1298.000,4360203.000,,,,,
7,2021,6,2022,Sindh,Larkana,13434.000,25810711722.000,16820855829.000,19690.000,30080769406.000,252.000,4800984.000,3990785.000,357.000,3050705.000,27.000,1400388.000,1100703.000,33.000,760879.000,7992.000,12680396963.000,9750852561.000,10382.000,13790619603.000,122.000,330392.000,410104.000,192.000,45024.000,,,,,
7,2021,6,2022,Sindh,Matiari,3405.000,501023635.000,7200815423.000,5281.000,6460406557.000,277.000,4660097.000,4760805.000,284.000,2530071.000,45.000,4240898.000,3940295.000,53.000,1680152.000,6288.000,9700491009.000,9130895586.000,6961.000,9640093037.000,23.000,1920464.000,1590163.000,64.000,840598.000,,,,,
7,2021,6,2022,Sindh,Mirpurkhas,3589.000,10600577136.000,7740997097.000,3993.000,986019173.000,708.000,11930612.000,10700237.000,1010.000,8200404.000,203.000,14700499.000,13490758.000,236.000,5000479.000,10507.000,11900339544.000,12940123594.000,12836.000,13760219504.000,74.000,1210297.000,1820599.000,123.000,1300411.000,,,,,
7,2021,6,2022,Sindh,Naushero Feroz,10319.000,1800053915.000,13830203186.000,11206.000,19910846859.000,550.000,9270139.000,11540225.000,299.000,2990431.000,883.000,7640039.000,4820386.000,47.000,1690901.000,16853.000,19190439638.000,9010394325.000,18003.000,20570112349.000,45.000,1290941.000,1110529.000,182.000,102001.000,,,,,
